Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990, ,113650,113910,113817,114028,113970,113702,113809,113676,113367,113166,113229
1991,113007,112786,112522,112720,112657,112342,112517,112404,112548,112804,112846,112766
1992,112354,112941,113012,113342,113225,113310,113440,113661,113569,113468,113572,113726
1993,113968,113917,114269,114401,114531,115236,115319,115536,115549,115671,115909,116040
1994,116484,116518,116623,116882,117303,117629,117389,117700,118344,118833,119002,119098
1995,119303,119850,119777,119671,119596,119107,119431,119491,119646,119880,120119,120269
1996,120022,120194,120616,120930,120990,121245,121504,121885,122245,122621,122794,123041
1997,122620,123094,123292,123816,124156,124226,124551,124942,124955,125004,125254,125186
1998,125499,125579,125574,125746,126116,126025,125954,125738,126022,126522,126659,126880
1999,127216,127525,127503,127485,127556,127897,127876,127976,128243,128418,128693,128956
2000,129298,131110,131134,131601,131570,131306,131248,131097,131097,131395,131664,132007
2001,131941,131858,131973,131739,131305,131227,130991,130580,130558,130909,130534,130347
2002,129970,130289,130541,130344,130487,130541,130737,130755,131393,131300,130895,130887
2003,130692,131799,131711,131826,131944,131772,131796,131630,131702,132061,132308,132489
2004,132603,132898,132753,132799,132961,133433,133431,133730,133638,133561,134094,134242
2005,134291,134480,134785,135077,135600,135897,135916,136360,136621,136599,136768,136650
2006,137122,137643,137695,137608,137853,138172,138186,138364,138687,139140,139289,139554
2007,139748,139839,140142,140032,139889,140072,140199,139756,140179,140126,140427,140546
2008,140343,140482,140171,140262,140237,139857,139696,139465,139097,139089,138406,137761
2009,136272,135718,135182,134532,134523,134064,133939,133559,133009,132688,132694,132395
2010,132173,132491,132520,132988,133100,133476,133219,133241,133624,133144,132891,133115
2011,133256,133505,133742,133784,133609,133632,133400,133985,134017,134264,134531,134773
2012,134928,136005,136074,136043,136238,136442,136297,136142,136838,137314,137389,137363
2013,137490,137245,137293,137357,137786,137740,138132,138307,138431,137818,138563,138794
2014,138650,138945,139216,139801,139710,140018,140386,140412,140594,140950,141265,141225
2015,141428,141603,141850,142067,142272,142218,142459,142419,142844,142878,143054,143441
2016,143863,144648,144913,145076,144928,144986,145048,145462,145545,145776,145441,145624
2017,145622,145926,146491,146740,146768,146632,146799,147155, , , , 
