Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990, ,3583,3367,3495,3125,3389,3297,3106,3356,3236,3308,3185
1991,3237,3022,3082,2958,3356,3170,3156,3082,2958,3086,3000,3011
1992,2934,2978,2949,2869,3154,2990,2970,3083,3152,3311,3043,3111
1993,3187,3235,3057,3228,3028,2988,3027,3105,3435,3011,3088,3178
1994,3077,3531,3592,3131,3192,3341,3315,3139,3196,3229,3300,3532
1995,3317,3093,3303,3392,3545,3424,3252,3396,3292,3376,3452,3243
1996,3174,3234,3251,3162,3198,3225,3314,3408,3115,3229,3227,3106
1997,3357,3396,3336,3332,3328,3353,3157,3282,3369,3303,3309,3567
1998,3453,3377,3432,3463,3417,3620,3531,3887,3590,3760,3677,3629
1999,3665,3740,3722,3736,3693,3730,3851,3811,3779,3656,3666,3707
2000,3591,3739,3798,3547,3992,3696,3921,3684,3901,3929,3894,3748
2001,3894,4170,3836,4193,4163,3958,4028,4523,3839,3890,3719,3883
2002,3897,3419,3992,3801,3817,3988,3721,3682,3413,3956,4040,3701
2003,3705,3710,3790,3608,3667,3801,4074,3781,3894,3768,3822,3991
2004,3766,3747,3910,3845,3846,3604,3887,3946,4006,4014,3815,4119
2005,3978,3890,3847,3863,3894,3863,3993,3875,3934,4044,4037,4095
2006,3935,3791,4011,4229,4132,4136,4244,4086,4154,3904,4175,4137
2007,4283,4333,4191,4502,3961,4035,3998,4412,3685,4277,3772,4160
2008,3630,4048,3957,3886,3819,4031,3974,3756,3944,3701,3867,3797
2009,4038,3576,3789,3667,3461,3611,3499,3759,3839,3591,3421,3867
2010,3450,3583,3728,3467,3824,3560,3562,3519,3552,3997,3603,3699
2011,3668,3679,3485,3564,3742,3825,3825,3500,3493,3772,3675,3937
2012,3945,3562,3656,3975,3686,3716,3893,4067,3486,3734,4058,3743
2013,3673,4126,4088,3915,3868,4004,3875,4035,3938,4434,3446,3950
2014,4047,4107,3954,4075,4031,3914,3841,4025,4182,4154,4200,4366
2015,4303,4601,4415,4319,4435,4796,4394,4763,4462,4354,4452,4178
2016,4496,4308,4257,4494,4381,4233,4247,4337,4391,4399,4681,4637
2017,4274,4407,4389,4600,4784,4541,4648,4587, , , , 
