Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990, ,1823,1764,1873,1676,1771,1941,1877,1752,1902,2034,1874
1991,1978,2084,2130,1956,2077,1909,1947,2043,1959,2019,1935,1975
1992,2150,2035,1773,1915,2028,2057,1940,1950,2087,1923,1994,2019
1993,1818,1903,1930,1894,1895,1872,1925,1807,1852,1852,1807,1932
1994,1884,1898,1852,1898,1776,1875,1910,1848,1783,1606,1791,1867
1995,1969,1700,1829,1873,1784,1871,1820,1910,1895,1857,1798,1657
1996,1867,1677,1752,1750,1787,1754,1765,1634,1792,1666,1849,1604
1997,1863,1789,1650,1724,1639,1865,1685,1578,1667,1691,1596,1880
1998,1685,1750,1781,1586,1656,1661,1739,1684,1758,1684,1643,1751
1999,1576,1736,1591,1682,1685,1662,1611,1603,1527,1613,1613,1620
2000,1614,1678,1646,1532,1688,1597,1751,1718,1643,1549,1444,1472
2001,1758,1729,1782,1827,1810,1877,1833,1946,1823,2025,2109,1986
2002,2130,1950,1884,2008,1797,1989,1935,1934,1878,2004,2050,1911
2003,2008,1886,1959,1978,2000,1949,1882,2041,1931,1733,1832,1922
2004,1729,1806,1857,1787,1851,1777,1823,1858,1907,1890,1801,1848
2005,1814,1853,1730,1692,1738,1822,1783,1769,1853,1736,1685,1732
2006,1595,1692,1728,1882,1754,1752,1900,1725,1761,1749,1814,1820
2007,1917,1833,1701,1763,1712,1774,1843,1714,1795,1818,1725,1866
2008,1780,1817,2005,1915,2054,1996,1967,2288,2140,2259,2506,2519
2009,2755,2834,2647,2484,2649,2550,2463,2560,2621,2516,2294,2373
2010,2228,2341,2310,2274,2349,2164,2296,2396,2231,2232,2601,2206
2011,2152,2043,2132,2268,2212,2135,2105,2016,2408,2123,2139,2093
2012,1956,1989,2104,1994,1950,2024,2116,2059,1943,1972,1959,2204
2013,2143,1830,1909,2023,1926,2089,1907,1952,1910,2190,1544,1768
2014,2016,1980,1908,1804,1907,1856,1899,2000,1701,1716,1936,1746
2015,1765,1832,1819,1833,1790,1753,1678,1684,1761,1666,1724,1775
2016,1647,1553,1848,1705,1694,1810,1664,1722,1694,1726,1756,1762
2017,1713,1723,1623,1635,1579,1725,1641,1744, , , , 
