Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,62580,62806,62829,63129,63020,63485,63456,63352,63636,63715,63802,63875
1991,64208,64251,64143,63969,64474,64469,64792,64966,64652,64855,64956,65134
1992,64692,64860,64600,64513,64384,64204,64263,64405,64728,65416,65180,65230
1993,65562,65650,65650,65814,65285,65308,65485,65444,65991,65871,65914,65853
1994,65357,65421,65813,65742,65731,66132,66207,65768,65827,65686,65716,65814
1995,65715,65770,65899,65558,66435,66504,66272,66465,66394,66476,66741,66997
1996,67018,66820,66741,66692,66611,66762,66357,66793,66546,66352,66456,66523
1997,66829,66988,66622,66658,66713,66789,66689,66746,66895,67134,66980,66943
1998,67143,67288,67311,67581,67527,67630,67682,67910,67413,67640,67723,67635
1999,67715,67906,68306,68277,68320,68304,68390,68609,68642,68712,68641,68655
2000,69142,69120,69338,69267,69853,69876,70398,70401,70645,70782,70579,70488
2001,70088,70409,70381,70956,71414,71592,71526,72136,71676,71817,71876,72010
2002,72623,72010,72343,72281,72260,72600,72827,72856,72554,73026,73508,73675
2003,73960,74015,74295,74066,74268,73958,74767,75062,75249,75324,75280,75780
2004,75319,75648,75606,75907,75903,75735,75730,76113,76526,76399,76259,76581
2005,76808,76677,76846,76514,76409,76673,76721,76642,76739,76958,77138,77394
2006,77339,77122,77161,77318,77359,77317,77535,77451,77757,77634,77499,77376
2007,77506,77851,77982,78818,78810,78671,78904,79461,79047,79532,79105,79238
2008,78554,79156,79087,79429,79102,79314,79395,79466,79790,79736,80189,80380
2009,80529,80374,80953,80762,80705,80938,81367,81780,82495,82766,82865,83813
2010,83349,83304,83206,82707,83409,84075,84199,84014,84347,84895,84590,85240
2011,85441,85637,85623,85603,85834,86144,86383,86111,85940,86308,86312,86589
2012,87888,87765,87855,88239,88100,88073,88405,88803,88613,88429,88836,88722
2013,88967,89559,90005,89819,89849,89805,90087,90372,90437,91671,91238,91595
2014,91619,91601,91143,92061,92063,92132,91925,92112,92346,92267,92423,92789
2015,92701,93128,93299,93222,93008,93670,93752,93987,94516,94418,94389,93978
2016,94036,93690,93490,94031,94665,94508,94325,94346,94261,94678,95084,95102
2017,94366,94190,94213,94375,94983,94813,94657,94785, , , , 
