Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990, ,3204,3244,3148,3119,2986,3193,2961,2975,3032,3092,2962
1991,2836,2857,2982,2972,2736,2993,2891,2868,3047,2806,2722,2661
1992,3133,2708,2921,2836,2912,2800,2933,2848,2767,2814,2964,2880
1993,2870,3167,2989,2871,3271,2842,2825,3099,2891,2971,3011,3093
1994,3228,3260,3012,3102,3179,2855,3061,3308,3071,3125,3274,3262
1995,3214,2919,3043,3150,2675,3215,3211,3039,3297,3215,3012,2777
1996,2989,3329,3111,2996,3131,3194,3310,3063,3149,3080,2923,2741
1997,3094,3059,3450,3215,3172,3075,3096,3142,3074,3113,3381,3402
1998,3226,3202,3272,3288,3331,3196,3391,3576,3871,3413,3539,3683
1999,3621,3393,3349,3736,3779,3556,3610,3572,3497,3644,3547,3561
2000,3629,3640,3585,3611,3265,3660,3276,3639,3775,3691,3831,3768
2001,3972,3843,3840,3594,3677,3655,4003,3663,4124,3416,3528,3505
2002,3558,3766,3360,3637,3852,3765,3562,3718,3611,3604,3620,3445
2003,3902,3623,3623,3639,3478,3776,3487,3698,3757,3800,3886,3584
2004,3769,3549,3704,3656,3722,3630,3903,3713,3608,3937,3876,3726
2005,3865,3757,3741,4034,3943,3755,4062,3849,3845,3882,3625,4067
2006,3968,3942,4015,4064,4122,4089,3881,4108,3933,4163,4225,4295
2007,4146,4044,4018,3609,3966,4095,3745,3888,4052,3818,4122,3668
2008,3964,3645,3830,3695,3715,3765,3733,3564,3608,3517,3481,3441
2009,3634,3537,3285,3584,3398,3274,3356,3422,3153,3358,3303,3226
2010,3732,3545,3536,3485,3397,3267,3425,3634,3384,3406,3627,3541
2011,3591,3561,3484,3497,3575,3304,3729,3514,3746,3531,3739,3549
2012,3392,3492,3517,3542,3650,3633,3684,3863,3788,3667,3721,3753
2013,3389,3659,3815,3960,3735,3906,3818,3804,3878,3653,3751,3690
2014,4127,3767,4123,3606,4006,4017,4043,3907,3968,4192,3967,4061
2015,4372,4381,4263,4346,4425,4323,4532,4455,4068,4442,4314,4434
2016,4421,4509,4436,4066,4107,4242,4519,4264,4286,3976,4527,4526
2017,4434,4426,4451,4368,4221,4698,4640,4418, , , , 
