Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990, ,57654,57812,58024,58364,58502,58571,58690,58671,58843,58804,58998
1991,59193,59474,59345,59318,59294,59498,59782,59992,59864,59843,60135,60262
1992,59898,60135,59830,59693,59384,59385,59128,59398,59557,59915,60291,60128
1993,60356,60348,60688,60707,60523,60523,60515,60433,60598,60963,60892,60785
1994,60397,59916,60139,60507,60473,60611,60862,60648,60614,60541,60400,60393
1995,60515,60791,60843,60451,60880,61202,61161,61180,61090,61117,61368,61861
1996,61960,61594,61610,61655,61455,61495,61235,61449,61591,61443,61382,61636
1997,61431,61803,61525,61497,61564,61699,61747,61553,61773,62001,61945,61672
1998,61910,62059,62077,62306,62464,62467,62426,62325,62141,62137,62250,62256
1999,62132,62466,62808,62792,62847,62994,62877,63103,63246,63311,63315,63270
2000,63235,63702,63829,64029,64218,64415,64936,64993,64989,65290,65145,65132
2001,64689,64506,64777,64947,65494,65896,65761,65834,65989,66104,66199,66167
2002,66587,66658,66452,66543,66331,66551,66840,67074,67128,66931,67344,67941
2003,67645,68202,68221,68361,68368,68047,68317,68923,69092,69137,69306,69587
2004,69605,69687,69534,69880,69978,69999,69663,69898,70306,70330,70356,70343
2005,70751,70846,70831,70653,70433,70649,70593,70709,70670,70786,70989,70967
2006,71212,71316,71097,71054,71187,71107,71284,71290,71607,71702,71503,71285
2007,71146,71471,71865,72510,72935,72778,72958,73101,73432,73274,73326,73281
2008,72994,72904,73140,73299,73281,73156,73204,73459,73394,73666,73948,74051
2009,73918,74222,74336,74353,74355,74446,74583,74851,75665,76034,76365,76676
2010,76748,76634,76360,76210,76252,77064,77358,77332,77451,77736,77909,78064
2011,78376,78737,79067,78903,78955,79175,79195,79586,79095,79503,79619,79711
2012,80085,81188,81183,81263,81402,81365,81355,81511,81934,81648,81617,81983
2013,82331,82321,82933,83188,83207,83041,83119,83405,83703,84141,85081,84829
2014,84796,85104,84627,85096,85425,85549,85349,85480,85633,85566,85754,85910
2015,85806,85926,86380,86491,86311,86411,86572,86937,87620,87752,87836,87662
2016,87266,87148,87119,87270,87902,88173,87784,87895,87765,88031,88057,88271
2017,88222,87826,87721,87806,88225,88305,87973,88145, , , , 
