Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990, ,1573,1604,1510,1496,1381,1566,1658,1559,1613,1668,1692
1991,1698,1718,1774,1705,1789,1834,1648,1773,1906,1855,1849,1884
1992,1951,1698,1959,1921,2067,2050,1972,1867,1931,1848,2010,2022
1993,1849,1896,1822,1920,1869,1768,1816,1801,1803,1905,1815,1884
1994,2076,2029,2117,2051,1937,2111,2056,2099,1930,2007,1858,1907
1995,1892,1851,1731,2144,1849,1864,1976,1898,1923,1907,1940,1947
1996,1890,1939,1944,1935,1950,1766,2061,1689,1896,1867,1890,1922
1997,1841,1810,1855,1753,1764,1781,1788,1836,1741,1622,1649,1747
1998,1641,1723,1780,1557,1627,1704,1654,1621,1737,1703,1691,1624
1999,1679,1691,1581,1603,1489,1606,1647,1552,1696,1525,1688,1643
2000,1628,1628,1541,1533,1619,1610,1499,1596,1471,1498,1596,1487
2001,1660,1573,1626,1672,1618,1689,1661,1861,1856,1989,1917,2036
2002,1687,2013,2029,1992,1927,1774,2028,1852,1948,1842,1890,1951
2003,1958,1964,1999,2124,2048,2273,1972,1973,2040,2121,1959,1936
2004,2049,1910,2237,1897,2034,2088,1991,1946,2025,2085,1992,2015
2005,1776,2030,1929,1983,1964,1827,1841,1986,1950,1895,2153,1928
2006,1997,1903,1833,1866,1832,1983,1974,1955,1733,1713,1719,1740
2007,1905,1812,1788,1683,1736,1757,1787,1735,1797,1774,1902,1974
2008,1851,1818,2005,1911,2250,2000,2153,2189,2281,2422,2125,2515
2009,2500,2587,2570,2834,2826,2801,2770,2911,2778,2920,2913,2779
2010,3071,2985,3224,3326,2873,2883,3087,3048,2989,3019,3174,2800
2011,2935,2957,2894,3037,2887,3162,3011,3097,3084,2719,2763,2866
2012,2903,3016,2876,2862,2998,2913,2808,2841,2891,3108,2901,2910
2013,2811,2797,2620,2665,2686,2712,2641,2687,2599,2451,2647,2527
2014,2477,2556,2658,2242,2437,2300,2504,2345,2318,2394,2353,2258
2015,2417,2199,2291,2267,2291,2080,2261,2165,2103,2122,2071,2097
2016,2095,2182,1938,1957,1825,2049,1938,1968,2097,2056,1897,2089
2017,1951,1915,1820,1841,1732,1782,1968,1893, , , , 
