Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,6752,6651,6598,6797,6742,6590,6922,7188,7368,7459,7764,7901
1991,8015,8265,8586,8439,8736,8692,8586,8666,8722,8842,8931,9198
1992,9283,9454,9460,9415,9744,10040,9850,9787,9781,9398,9565,9557
1993,9325,9183,9056,9110,9149,9121,8930,8763,8714,8750,8542,8477
1994,8630,8583,8470,8331,7915,7927,7946,7933,7734,7632,7375,7230
1995,7375,7187,7153,7645,7430,7427,7527,7484,7478,7328,7426,7423
1996,7491,7313,7318,7415,7423,7095,7337,6882,6979,7031,7236,7253
1997,7158,7102,7000,6873,6655,6799,6655,6608,6656,6454,6308,6476
1998,6368,6306,6422,5941,6047,6212,6259,6179,6300,6280,6100,6032
1999,5976,6111,5783,6004,5796,5951,6025,5838,5915,5778,5716,5653
2000,5708,5858,5733,5481,5758,5651,5747,5853,5625,5534,5639,5634
2001,6023,6089,6141,6271,6226,6484,6583,7042,7142,7694,8003,8258
2002,8182,8215,8304,8599,8399,8393,8390,8304,8251,8307,8520,8640
2003,8520,8618,8588,8842,8957,9266,9011,8896,8921,8732,8576,8317
2004,8370,8167,8491,8170,8212,8286,8136,7990,7927,8061,7932,7934
2005,7784,7980,7737,7672,7651,7524,7406,7345,7553,7453,7566,7279
2006,7064,7184,7072,7120,6980,7001,7175,7091,6847,6727,6872,6762
2007,7116,6927,6731,6850,6766,6979,7149,7067,7170,7237,7240,7645
2008,7685,7497,7822,7637,8395,8575,8937,9438,9494,10074,10538,11286
2009,12058,12898,13426,13853,14499,14707,14601,14814,15009,15352,15219,15098
2010,15046,15113,15202,15325,14849,14474,14512,14648,14579,14516,15081,14348
2011,14013,13820,13737,13957,13855,13962,13763,13818,13948,13594,13302,13093
2012,12797,12813,12713,12646,12660,12692,12656,12471,12115,12124,12005,12298
2013,12470,11954,11672,11752,11657,11741,11350,11284,11264,11133,10792,10410
2014,10240,10383,10400,9705,9740,9460,9637,9616,9255,8964,9060,8718
2015,8962,8663,8538,8521,8655,8251,8235,8017,7877,7869,7939,7927
2016,7829,7845,7977,7910,7451,7799,7749,7853,7904,7740,7409,7529
2017,7635,7528,7202,7056,6861,6977,6981,7132, , , , 
