Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990, ,2152,1964,1801,1931,1945,1818,1940,1764,2029,1975,1963
1991,2016,2043,2091,2341,1979,2199,2057,2148,2247,2110,2123,1936
1992,2425,2044,2117,2181,2161,2217,2301,2188,2241,2264,2252,2247
1993,2180,2102,2181,2139,2217,2119,2243,2109,2023,2115,2163,2212
1994,2171,2208,2194,2199,2249,2039,2141,2212,2166,2013,2111,2235
1995,2062,2085,2044,2009,2035,2075,2060,2182,2062,2158,1969,1899
1996,2035,2044,2022,1963,1994,2039,2007,2123,1976,2034,1947,1935
1997,2187,2074,2056,1976,2051,1990,2097,1811,1836,1953,1900,1997
1998,1896,1954,1876,2060,1759,1892,1883,1941,1942,1918,1941,1882
1999,1864,1873,2039,1658,1867,1827,1848,1944,1871,1827,1993,1944
2000,2005,1784,1893,1940,1660,1850,1887,1831,1875,1885,1709,1699
2001,1784,1831,1892,1859,2034,1910,1956,1914,2045,1933,2121,2109
2002,2109,2332,2195,2085,2130,1997,2022,2184,2178,2041,1959,1977
2003,2176,1966,1998,2086,2048,2114,2127,2127,2051,2064,2120,2247
2004,2058,1984,1925,2147,2088,2032,2151,1996,2138,2132,2154,2080
2005,2040,2052,2060,2060,1979,1978,1944,2119,1852,1954,2052,1968
2006,2033,1824,1952,1977,1997,2022,2012,2075,2081,1881,1932,2077
2007,1945,2125,2088,1851,1981,1753,1900,1975,1910,1907,1956,1951
2008,2034,1965,1996,2122,1900,2016,2052,2087,2293,2139,2098,2080
2009,2234,2293,2212,2493,2247,2609,2581,2399,2582,2318,2584,2355
2010,2522,2480,2613,2757,2675,2371,2501,2465,2347,2463,2448,2612
2011,2376,2308,2366,2252,2357,2398,2371,2375,2382,2509,2502,2482
2012,2387,2343,2370,2242,2260,2248,2276,2229,2359,2351,2189,2145
2013,2271,2345,2163,2190,2265,2297,2349,2160,2085,2045,2167,2188
2014,2221,2295,2299,2236,2030,2137,2001,2113,2162,2224,2012,2128
2015,1946,2074,2046,2038,1970,2092,1836,2067,1958,1890,1959,2088
2016,1994,1804,1876,1767,1921,1803,1945,1820,1994,2037,2018,1867
2017,2020,2131,1940,1921,1845,1758,2050,1830, , , , 
