Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990, ,1360,1466,1394,1313,1393,1391,1355,1378,1413,1455,1490
1991,1582,1522,1510,1493,1613,1612,1665,1610,1588,1675,1595,1673
1992,1616,1542,1623,1740,1633,1627,1839,1721,1803,1909,1609,1813
1993,1747,1846,1732,1651,1532,1578,1725,1689,1718,1629,1690,1684
1994,1663,1782,1911,1909,1899,1961,1832,1778,1772,1723,1820,1708
1995,1678,1686,1576,1534,1834,1695,1661,1693,1785,1811,1694,1718
1996,1682,1759,1689,1641,1754,1839,1601,1671,1640,1464,1617,1593
1997,1647,1609,1569,1644,1593,1538,1539,1677,1534,1587,1511,1478
1998,1552,1606,1587,1582,1432,1331,1473,1461,1447,1511,1595,1576
1999,1488,1442,1471,1438,1528,1316,1360,1413,1292,1457,1404,1401
2000,1256,1395,1451,1398,1379,1491,1289,1422,1497,1273,1244,1293
2001,1258,1436,1478,1536,1462,1437,1456,1454,1550,1562,1624,1680
2002,1796,1608,1655,1651,1814,1786,1975,1713,1714,1778,1819,1777
2003,1988,1796,2015,1778,1897,1828,2005,2016,1912,1997,1845,1892
2004,1661,1948,1871,1879,1766,1797,1845,1974,1886,1740,1780,1797
2005,1733,1648,1853,1716,1777,1819,1816,1721,1780,1817,1712,2004
2006,1800,1672,1745,1733,1745,1734,1711,1738,1683,1739,1488,1600
2007,1544,1741,1630,1502,1559,1598,1582,1592,1606,1637,1697,1496
2008,1567,1873,1712,1905,1666,1819,1736,1919,2091,1998,2090,2240
2009,2235,2307,2498,2425,2602,2566,2764,2866,2657,2783,2778,2932
2010,2829,2791,2846,2737,3030,3062,2850,2864,2959,2875,2783,3145
2011,3036,2896,2771,2845,2865,2809,2952,2705,2990,2706,2707,2704
2012,2848,2661,2714,2696,2682,2684,2688,2863,2843,2727,2814,2682
2013,2535,2805,2669,2430,2472,2447,2605,2591,2462,2734,2371,2508
2014,2452,2108,2259,2521,2293,2317,2229,2263,2231,2195,2190,2226
2015,2036,2268,2192,2088,1984,2159,2129,2008,2069,1919,1784,1813
2016,1862,1934,1800,1977,2068,1722,1717,1778,1748,1927,1991,1876
2017,1512,1638,1832,1710,1674,1664,1570,1667, , , , 
