Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990, ,3238,3219,3402,3551,3402,3379,3625,4045,3924,4027,4310
1991,4302,4446,4662,4751,4846,4924,4969,4825,4829,4936,5123,5321
1992,5155,5696,5713,5538,5620,5899,5894,5939,5741,5607,5536,5504
1993,5628,5376,5269,5265,5360,5451,5152,5131,5021,4969,4895,4644
1994,4641,4638,4477,4361,4181,3913,3952,3955,3994,3997,3700,3431
1995,3483,3603,3566,3609,3775,3658,3705,3650,3636,3508,3663,3808
1996,3704,3687,3601,3713,3666,3544,3486,3541,3264,3479,3466,3707
1997,3418,3474,3475,3379,3228,3126,3162,3165,3237,3115,3041,2831
1998,3026,2807,2842,2778,2748,2823,2854,2856,2788,2870,2742,2641
1999,2674,2660,2599,2684,2607,2653,2741,2666,2673,2630,2380,2370
2000,2391,2527,2513,2393,2440,2415,2473,2492,2479,2466,2578,2643
2001,2591,2754,2717,2745,2773,2877,3071,3214,3446,3646,3948,4213
2002,4350,4240,4364,4567,4653,4614,4395,4491,4411,4429,4527,4764
2003,4475,4756,4604,4722,4895,5012,5132,4866,4932,4856,4765,4435
2004,4579,4436,4370,4464,4314,4381,4287,4164,3966,4053,4125,4053
2005,4158,4083,4065,3959,3915,3852,3762,3565,3712,3780,3686,3593
2006,3440,3566,3485,3362,3376,3222,3276,3360,3325,3226,3305,3194
2007,3272,3248,3207,3377,3308,3414,3495,3580,3549,3624,3582,3792
2008,4016,3845,3787,3794,4070,4558,4781,4930,5052,5355,5885,6217
2009,6793,7456,8187,8507,9003,9323,9351,9335,9574,9906,9989,9930
2010,9729,9774,9652,9707,9618,9413,9117,9182,9338,9239,9284,9322
2011,8915,8807,8680,8639,8733,8646,8634,8682,8445,8732,8383,8114
2012,7852,7791,7727,7774,7702,7727,7721,7562,7268,7035,7119,7176
2013,7491,7318,7120,7050,7014,6912,6779,6598,6735,6483,6593,6094
2014,5734,5835,5823,5641,5380,5285,5224,5260,5222,4835,4760,4704
2015,4735,4618,4423,4410,4565,4402,4274,4158,3988,4066,4125,4036
2016,4070,4088,4167,4231,3919,3925,4130,4149,4109,3938,3729,3664
2017,3971,3864,3754,3569,3536,3438,3352,3482, , , , 
